Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,163,gPlane_1_4_(Neg)4_.jpg,plane,curve,geo,2.5198421,1.15258907,66.03854498,2.904259258,0.457956724,26.23900964,1,0.969617128
1,1,164,Sphere_3_2_(Neg)1_1_.jpg,sphere,curve,arc,4,0.634294209,36.34241186,2.537568895,0.182587267,10.4614886,0,1.21823597
1,1,165,Plane_3_4_5_.jpg,plane,line,arc,4,1.15258907,66.039,3.992606871,0,0,1,0.936082125
1,1,166,Sphere_0_0_5_1_.jpg,sphere,curve,arc,2,0.349065556,20,0.699288102,0.897603532,51.42893752,0,1.385010958
1,1,167,gSphere_3_5_4_.jpg,sphere,curve,geo,4,1.553697159,89.02036507,6.214610597,0.493278124,28.26277849,0,0.952829123
1,1,168,Plane_1_5_(Neg)4_.jpg,plane,line,arc,2.5198421,1.553697159,89.02,3.576513006,0,0,1,1.552105188
1,1,169,Plane_2_0_2_0_.jpg,plane,curve,arc,3.174802104,0.349065556,20,1.108435669,0.211060151,12.09286607,0,1.302695036
1,1,170,Sphere_2_0_1_0_.jpg,sphere,curve,arc,3.174802104,0.349065556,20,1.108244263,0.105521091,6.045918257,0,0.852758884
1,1,171,Plane_3_4_.jpg,plane,line,geo,4,1.15258907,66.039,4.610224201,0,0,1,1.252961874
1,1,172,Plane_1_4_.jpg,plane,line,geo,2.5198421,1.15258907,66.039,2.904259258,0,0,1,2.819267988
1,1,173,gSphere_1_2_(Neg)5_.jpg,sphere,curve,geo,2.5198421,0.634294209,36.34241186,1.598275464,0.538345563,30.84495473,0,1.200654984
1,1,174,Plane_1_4_3_0_.jpg,plane,curve,arc,2.5198421,1.15258907,66.03854498,2.920504418,0.342684046,19.6343661,1,7.802460909
1,1,175,gSphere_3_4_3_.jpg,sphere,curve,geo,4,1.15258907,66.03854498,4.610224201,0.342684046,19.6343661,0,4.317734003
1,1,176,Sphere_2_3_.jpg,sphere,line,geo,3.174802104,0.855032498,48.99,2.714481207,0,0,1,1.985877037
1,1,177,gSphere_1_2_2_.jpg,sphere,curve,geo,2.5198421,0.634294209,36.34241186,1.598275464,0.214868548,12.31107133,0,3.833621025
1,1,178,Plane_0_2_4_.jpg,plane,line,arc,2,0.634294209,36.342,1.158886361,0,0,1,1.552170992
1,1,179,Plane_1_5_(Neg)5_0_.jpg,plane,curve,arc,2.5198421,1.553697159,89.02036507,4.032783836,0.619955179,35.52084523,1,1.417767048
1,1,180,gPlane_0_1_(Neg)5_.jpg,plane,curve,geo,2,0.470542517,26.96012309,0.941058074,0.531646148,30.46110619,1,0.766425133
1,1,181,Plane_2_5_4_0_.jpg,plane,curve,arc,3.174802104,1.553697159,89.02036507,5.021480765,0.493278124,28.26277849,1,0.834917068
1,1,182,gSphere_3_2_1_.jpg,sphere,curve,geo,4,0.634294209,36.34241186,2.537104152,0.107404275,6.153816826,1,1.06953311
1,1,183,Sphere_2_4_(Neg)4_1_.jpg,sphere,curve,arc,3.174802104,1.15258907,66.03854498,3.697483861,0.77852643,44.60631638,1,1.118716955
1,1,184,Plane_3_5_.jpg,plane,line,geo,4,1.553697159,89.02,6.214610597,0,0,1,1.201812029
1,1,185,Plane_0_4_4_0_.jpg,plane,curve,arc,2,1.15258907,66.03854498,2.329268874,0.457956724,26.23900964,1,2.035540104
1,1,186,Plane_2_5_.jpg,plane,line,geo,3.174802104,1.553697159,89.02,4.9325397,0,0,1,2.902563095
1,1,187,gSphere_3_5_(Neg)2_.jpg,sphere,curve,geo,4,1.553697159,89.02036507,6.214610597,0.245008896,14.03798753,0,1.152261972
1,1,188,Sphere_3_1_.jpg,sphere,line,geo,4,0.470542517,26.96,1.882116149,0,0,1,1.384198904
1,1,189,Plane_3_5_2_1_.jpg,plane,curve,arc,4,1.553697159,89.02036507,6.240370251,0.416515123,23.8645788,1,2.548981905
1,1,190,Plane_1_0_5_.jpg,plane,line,arc,2.5198421,0.349065556,20,0.761732325,0,0,1,1.302789927
1,1,191,Plane_3_4_(Neg)4_1_.jpg,plane,curve,arc,4,1.15258907,66.03854498,4.658537748,0.77852643,44.60631638,1,1.535249949
1,1,192,gSphere_0_6_5_.jpg,sphere,curve,geo,2,2.094393333,120,4.188666667,0.713689083,40.8914069,0,1.88432312
1,1,193,Plane_2_4_5_.jpg,plane,line,arc,3.174802104,1.15258907,66.039,3.168934174,0,0,1,2.969199896
1,1,194,Plane_0_5_2_1_.jpg,plane,curve,arc,2,1.553697159,89.02036507,3.120185125,0.416515123,23.8645788,1,1.301609993
1,1,195,Plane_0_3_5_0_.jpg,plane,curve,arc,2,0.855032498,48.98979486,1.726960681,0.550779558,31.55737079,1,1.53657198
1,1,196,Plane_3_4_1_.jpg,plane,line,arc,4,1.15258907,66.039,4.584970399,0,0,1,1.752488136
