subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
8,8,100,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,2.170914888,3,1,0,NA,0.47054291469740406,0,0
8,8,103,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,1.82062602,0,0,0,NA,0.34906585039886595,0,0
8,8,109,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.853713989,2,1,0,NA,0.47054291469740406,0,0
8,8,113,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,2.904973984,3,0,0,NA,0.34906585039886595,0,0
8,8,121,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,1.000553131,2,0,0,NA,0.34906585039886595,0,0
8,8,128,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,1.553305864,1,0,0,NA,0.34906585039886595,0,0
8,8,130,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,1.920220137,3,3,0,NA,0.8550332201079094,0,0
8,8,132,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,0.736495018,0,5,0,NA,1.5536984718136575,0,0
8,8,146,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,correct,2.467376947,1,3,0,NA,0.8550332201079094,0,0
8,8,153,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,0.600203991,1,6,0,NA,2.094395102393195,0,0
8,8,161,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,incorrect,1.337244987,1,5,0,NA,1.5536984718136575,0,0
8,8,163,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,1.282882929,3,5,0,NA,1.5536984718136575,0,0
8,8,172,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,2.066948891,2,6,0,NA,2.094395102393195,0,0
8,8,175,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,1.833548069,0,6,0,NA,2.094395102393195,0,0
8,8,201,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,1.071107864,1,2,0,NA,0.634294745014242,0,0
8,8,205,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,1.070528984,2,5,0,NA,1.5536984718136575,0,0
8,8,215,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,1.336180925,2,3,0,NA,0.8550332201079094,0,0
8,8,223,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,0.63690114,2,2,0,NA,0.634294745014242,0,0
9,9,18,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,3.770048141,3,3,0,NA,0.8550332201079094,0,0
9,9,19,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,correct,2.002402067,1,3,0,NA,0.8550332201079094,0,0
9,9,22,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,0.71733284,3,4,0,NA,1.1525900430905907,0,0
9,9,28,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,1.466903925,2,1,0,NA,0.47054291469740406,0,0
9,9,41,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,2.019364119,1,1,0,NA,0.47054291469740406,0,0
9,9,67,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,0.636047125,2,3,0,NA,0.8550332201079094,0,0
9,9,71,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,0.887511969,3,5,0,NA,1.5536984718136575,0,0
9,9,72,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,0.787394047,2,4,0,NA,1.1525900430905907,0,0
9,9,82,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,1.054090977,2,5,0,NA,1.5536984718136575,0,0
9,9,89,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,2.703665018,0,1,0,NA,0.47054291469740406,0,0
9,9,90,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,0.36993885,0,2,0,NA,0.634294745014242,0,0
9,9,105,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,1.070264101,0,4,0,NA,1.1525900430905907,0,0
9,9,114,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,0.751518011,3,2,0,NA,0.634294745014242,0,0
9,9,131,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,0.820182085,2,0,0,NA,0.34906585039886595,0,0
9,9,138,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.816830158,0,3,0,NA,0.8550332201079094,0,0
9,9,139,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,0.46945405,2,6,0,NA,2.094395102393195,0,0
9,9,151,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,0.733526945,0,6,0,NA,2.094395102393195,0,0
9,9,156,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,0.487408876,3,1,0,NA,0.47054291469740406,0,0
9,9,163,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,0.437452078,0,5,0,NA,1.5536984718136575,0,0
9,9,166,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,2.304553986,1,6,0,NA,2.094395102393195,0,0
9,9,171,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,0.770802021,2,2,0,NA,0.634294745014242,0,0
9,9,184,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,0.51759696,1,0,0,NA,0.34906585039886595,0,0
9,9,185,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,correct,0.753931999,1,5,0,NA,1.5536984718136575,0,0
9,9,186,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,0.587884188,1,2,0,NA,0.634294745014242,0,0
9,9,190,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.587263823,3,6,0,NA,2.094395102393195,0,0
9,9,192,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,0.670509815,0,0,0,NA,0.34906585039886595,0,0
9,9,194,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,0.599118948,1,4,0,NA,1.1525900430905907,0,0
9,9,223,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,0.653803825,3,0,0,NA,0.34906585039886595,0,0
10,10,8,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,0.932382107,0,4,0,NA,1.1525900430905907,0,0
10,10,18,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,1.100454092,1,4,0,NA,1.1525900430905907,0,0
10,10,36,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,0.885653019,0,0,0,NA,0.34906585039886595,0,0
10,10,43,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,1.202433825,3,0,0,NA,0.34906585039886595,0,0
10,10,56,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,0.685745001,0,2,0,NA,0.634294745014242,0,0
